add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education
,Milwaukee,Reinhart Boerner Van Deuren s.c.,WISCONSIN,,,A-13316-14231,11/19/2013,Certified,H-1B,INDIA,,5/29/2015,S45 W29290 HWY 59,,WAUKESHA,UNITED STATES OF AMERICA,Vice President of Human Resources,1935,2625444811,,53189,WISCONSIN,1959,A,INDIA,WAUKESHA,Bachelor's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14287,11/12/2013,Denied,,SOUTH KOREA,,6/26/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,ANSAN-SI,None
,Littleton,Law Office of Jonathan Chin,COLORADO,,,A-13316-14312,11/27/2013,Denied,H-1B,GERMANY,,10/16/2014,12635 E. MONTVIEW BLVD. #140,,AURORA,UNITED STATES OF AMERICA,Chief Financial Officer,4,720-859-6111,,80045,COLORADO,1996,A,GERMANY,DENVER,Doctorate
,Los Angeles,Law Offices Peter A. Kim,CALIFORNIA,,,A-13316-14276,11/13/2013,Certified,E-2,SOUTH KOREA,,5/26/2015,17426 HWY 99,,LYNNWOOD,UNITED STATES OF AMERICA,President,8,206 391 7466,,98037,WASHINGTON,2010,A,SOUTH KOREA,BELLEVUE,Master's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14275,11/12/2013,Denied,,SOUTH KOREA,,6/26/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,SEOUL,None
,Ann Arbor,"Law Office of Soo Park, PLC",MICHIGAN,,,A-13317-14380,11/15/2013,Certified,F-1,SOUTH KOREA,,5/28/2015,4750 S. HAGADORN ROAD,SUITE 100,EAST LANSING,UNITED STATES OF AMERICA,President,20,517-333-1933,,48823,MICHIGAN,2003,A,SOUTH KOREA,OKEMOS,None
,Williamsville,Cumming & Partners,NEW YORK,,,A-13317-14356,7/2/2014,Certified-Expired,H-1B,CANADA,,12/1/2014,317 MADISON AVENUE,SUITE 512,NEW YORK,UNITED STATES OF AMERICA,Managing Partner,3,212-665-5202,7000,10017,NEW YORK,2011,A,CANADA,NEW YORK,Bachelor's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14278,11/12/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,WONJU-SI,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14279,11/12/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,JEJU-SI,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14281,11/12/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,TOKYO,None
